Profit,CurrentTPS,CurrentTokens,TokensUsed,TransactionsUpgraded
1315.50,10881.00,0.00,1000.00,631
1292.50,10836.00,0.00,1000.00,585
1316.50,10680.00,0.00,1000.00,633
1299.50,11041.00,0.00,1000.00,599
1313.50,11000.00,0.00,1000.00,627
1000.00,10874.00,0.00,1000.00,0
1000.00,11105.00,0.00,1000.00,0
1000.00,10961.00,0.00,1000.00,0
1000.00,11109.00,0.00,1000.00,0
1000.00,11151.00,0.00,1000.00,0
1000.00,11110.00,0.00,1000.00,0
1000.00,11111.00,0.00,1000.00,0
1278.00,11152.00,0.00,1000.00,556
1290.50,11000.00,0.00,1000.00,581
1273.00,11152.00,0.00,1000.00,546
1275.00,11153.00,0.00,1000.00,550
1285.50,10998.00,0.00,1000.00,571
1267.50,10997.00,0.00,1000.00,535
1272.50,11042.00,0.00,1000.00,545
1000.00,11038.00,0.00,1000.00,0
1000.00,11000.00,0.00,1000.00,0
1280.50,11150.00,0.00,1000.00,561
1279.00,11000.00,0.00,1000.00,558
1000.00,11158.00,0.00,1000.00,0
1278.00,11157.00,0.00,1000.00,556
1000.00,11007.00,0.00,1000.00,0
1268.00,11120.00,0.00,1000.00,536
1274.50,11037.00,0.00,1000.00,549
1270.00,11155.00,0.00,1000.00,540
1275.00,11000.00,0.00,1000.00,550
1270.50,11005.00,0.00,1000.00,541
1268.00,11009.00,0.00,1000.00,536
1000.00,11016.00,0.00,1000.00,0
1000.00,11127.00,0.00,1000.00,0
2000.00,10799.00,0.00,2000.00,0
1000.00,11043.00,0.00,1000.00,0
1000.00,11085.00,0.00,1000.00,0
1000.00,10919.00,0.00,1000.00,0
1000.00,11083.00,0.00,1000.00,0
1000.00,11121.00,0.00,1000.00,0
1000.00,11093.00,0.00,1000.00,0
1000.00,10925.00,0.00,1000.00,0
1000.00,11084.00,0.00,1000.00,0
1000.00,11120.00,0.00,1000.00,0
1000.00,11000.00,0.00,1000.00,0
1000.00,11117.00,0.00,1000.00,0
1000.00,10964.00,0.00,1000.00,0
1000.00,10971.00,0.00,1000.00,0
1132.50,10999.00,0.00,1000.00,265
1137.50,10904.00,0.00,1000.00,275
1128.00,10921.00,0.00,1000.00,256
1000.00,11064.00,0.00,1000.00,0
1000.00,10961.00,0.00,1000.00,0
1000.00,11119.00,0.00,1000.00,0
1000.00,11283.00,0.00,1000.00,0
1129.50,11122.00,0.00,1000.00,259
1113.50,11072.00,0.00,1000.00,227
1105.50,11161.00,0.00,1000.00,211
1115.00,11161.00,0.00,1000.00,230
1128.50,11200.00,0.00,1000.00,257
1122.00,11205.00,0.00,1000.00,244
1132.50,11080.00,0.00,1000.00,265
